Employee Number,Attrition,Business Travel,Age Group,Department,Education Field,Employee Count,Gender,Job Role,Marital Status,Over Time,Age,Distance From Home,Education,Environment Satisfaction,Job Level,Job Satisfaction,Monthly Income,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
39,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Research Scientist,Married,Yes,36,5,Master's Degree,2,1,1,3419,6,4,1,1,0,0
40,No,Travel_Frequently,25 - 34,Sales,Life Sciences,1,Female,Sales Executive,Married,No,33,1,Bachelor's Degree,3,2,1,5376,10,3,5,3,1,3
41,No,Travel_Rarely,35 - 44,R&D,Other,1,Male,Laboratory Technician,Divorced,No,35,4,Associates Degree,3,1,4,1951,1,3,1,0,0,0
42,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Laboratory Technician,Divorced,No,27,2,Master's Degree,4,1,1,2341,1,3,1,0,0,0
43,Yes,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Single,No,26,25,Bachelor's Degree,1,1,3,2293,1,2,1,0,0,1
44,No,Travel_Frequently,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Single,No,27,8,Bachelor's Degree,4,3,3,8726,9,3,9,8,1,7
45,No,Travel_Frequently,25 - 34,R&D,Medical,1,Female,Laboratory Technician,Single,No,30,1,Associates Degree,3,2,4,4011,12,3,12,8,3,7
46,Yes,Travel_Rarely,35 - 44,R&D,Technical Degree,1,Female,Research Director,Married,No,41,12,Bachelor's Degree,2,5,3,19545,23,3,22,15,15,8
47,No,Non-Travel,25 - 34,Sales,Marketing,1,Male,Sales Executive,Single,No,34,23,Master's Degree,2,2,3,4568,10,3,9,5,8,7
48,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Research Scientist,Married,No,37,19,Associates Degree,2,1,2,3022,8,3,1,0,0,0
49,No,Travel_Frequently,45 - 54,Sales,Marketing,1,Male,Sales Executive,Single,Yes,46,5,Master's Degree,1,2,4,5772,14,3,9,6,0,8
50,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,35,8,High School,4,1,4,2269,1,3,1,0,0,1
51,Yes,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Laboratory Technician,Single,Yes,48,1,Associates Degree,1,3,3,5381,23,3,1,0,0,0
52,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,1,Male,Laboratory Technician,Single,Yes,28,5,Master's Degree,3,1,3,3441,2,2,2,2,2,2
53,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Female,Sales Executive,Divorced,Yes,44,1,Doctoral Degree,2,2,1,5454,9,2,4,3,1,3
54,No,Non-Travel,35 - 44,R&D,Medical,1,Male,Healthcare Representative,Married,Yes,35,11,Associates Degree,3,3,1,9884,10,3,4,0,2,3
55,No,Travel_Rarely,25 - 34,Sales,Marketing,1,Female,Sales Executive,Married,Yes,26,23,Bachelor's Degree,3,2,4,4157,5,2,2,2,0,0
56,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Female,Research Director,Single,Yes,33,1,Associates Degree,1,3,4,13458,15,3,15,14,8,12
57,No,Travel_Frequently,35 - 44,Sales,Life Sciences,1,Male,Sales Executive,Married,No,35,18,Doctoral Degree,2,3,1,9069,9,2,9,8,1,8
58,No,Travel_Rarely,35 - 44,R&D,Medical,1,Female,Laboratory Technician,Married,Yes,35,23,Master's Degree,3,1,1,4014,4,3,2,2,2,2
59,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Divorced,No,31,7,Master's Degree,4,2,4,5915,10,2,7,7,1,7
60,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Manufacturing Director,Divorced,No,37,1,Master's Degree,1,2,3,5993,7,4,7,5,0,7
61,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Manufacturing Director,Married,Yes,32,1,Bachelor's Degree,1,2,4,6162,9,3,9,8,7,8
62,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Single,No,38,29,Doctoral Degree,4,2,4,2406,10,3,10,3,9,9
63,No,Travel_Rarely,45 - 54,R&D,Medical,1,Female,Research Director,Divorced,Yes,50,7,Associates Degree,2,5,3,18740,29,2,27,3,13,8
64,No,Travel_Rarely,Over 55,Sales,Life Sciences,1,Female,Sales Executive,Single,No,59,25,Bachelor's Degree,1,3,1,7637,28,2,21,16,7,9
65,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1,Female,Healthcare Representative,Divorced,No,36,8,Bachelor's Degree,3,3,3,10096,17,3,17,14,12,8
66,No,Travel_Rarely,Over 55,R&D,Medical,1,Female,Manager,Divorced,Yes,55,8,Bachelor's Degree,4,4,3,14756,21,3,5,0,0,2
67,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Male,Manufacturing Director,Single,No,36,11,Bachelor's Degree,2,2,2,6499,6,3,6,5,0,3
68,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Research Scientist,Divorced,No,45,7,Bachelor's Degree,2,3,1,9724,25,3,1,0,0,0
69,No,Travel_Frequently,35 - 44,R&D,Medical,1,Male,Research Scientist,Married,No,35,1,Bachelor's Degree,2,1,1,2194,5,2,3,2,1,2
70,Yes,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Research Scientist,Married,Yes,36,9,Bachelor's Degree,4,1,3,3388,2,2,1,0,0,0
71,No,Travel_Frequently,Over 55,Sales,Life Sciences,1,Female,Sales Executive,Single,No,59,1,High School,1,2,3,5473,20,2,4,3,1,3
72,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Married,No,29,2,Bachelor's Degree,3,1,2,2703,6,3,5,4,0,4
73,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Research Scientist,Single,No,31,1,Master's Degree,3,1,2,2501,1,3,1,1,1,0
74,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Married,No,32,1,Bachelor's Degree,2,2,2,6220,10,3,10,4,0,9
75,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Married,No,36,6,Bachelor's Degree,2,1,4,3038,5,3,1,0,0,0
76,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Manufacturing Director,Single,No,31,8,Master's Degree,3,2,4,4424,11,3,11,7,1,8
77,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Single,No,35,1,Master's Degree,3,2,1,4312,16,3,15,13,2,8
78,No,Travel_Rarely,45 - 54,R&D,Other,1,Male,Research Director,Married,Yes,45,6,Master's Degree,4,3,1,13245,17,4,0,0,0,0
79,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Research Director,Single,No,37,7,Master's Degree,1,3,3,13664,16,4,5,2,0,2
80,No,Travel_Rarely,45 - 54,HR,Medical,1,Male,Human Resources,Divorced,Yes,46,5,Associates Degree,2,2,2,5021,16,3,4,2,0,2
81,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Married,Yes,30,1,High School,4,2,4,5126,10,2,10,8,3,0
82,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Research Scientist,Single,No,35,1,Bachelor's Degree,2,1,3,2859,6,3,6,4,0,4
83,No,Travel_Rarely,Over 55,Sales,Life Sciences,1,Male,Sales Executive,Married,No,55,1,Associates Degree,1,3,4,10239,24,3,1,0,1,0
84,No,Non-Travel,35 - 44,R&D,Medical,1,Female,Research Scientist,Divorced,Yes,38,6,Bachelor's Degree,2,2,4,5329,17,3,13,11,1,9
85,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Manufacturing Director,Married,No,34,1,Associates Degree,1,2,2,4325,5,3,5,2,1,3
86,No,Travel_Rarely,Over 55,R&D,Life Sciences,1,Male,Manufacturing Director,Single,No,56,7,Bachelor's Degree,4,3,4,7260,37,2,6,4,0,2
87,No,Travel_Rarely,Under 25,Sales,Technical Degree,1,Male,Sales Representative,Divorced,No,23,2,High School,3,1,1,2322,3,3,0,0,0,0
88,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,51,9,Master's Degree,4,1,4,2075,10,3,4,2,0,3
89,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Healthcare Representative,Married,No,30,2,Bachelor's Degree,3,2,4,4152,11,3,11,10,10,8
90,Yes,Travel_Rarely,45 - 54,Sales,Medical,1,Male,Sales Executive,Single,No,46,9,Associates Degree,3,3,4,9619,9,3,9,8,4,7
91,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Male,Healthcare Representative,Married,No,40,1,Master's Degree,3,4,2,13503,22,2,22,3,11,11
92,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Male,Sales Executive,Single,Yes,51,21,Master's Degree,3,2,4,5441,11,1,10,7,1,0
93,No,Travel_Rarely,25 - 34,Sales,Medical,1,Female,Sales Executive,Divorced,Yes,30,4,Associates Degree,3,2,2,5209,11,2,11,8,2,7
94,No,Travel_Frequently,45 - 54,R&D,Medical,1,Male,Healthcare Representative,Married,Yes,46,1,Bachelor's Degree,3,3,1,10673,21,2,10,9,9,5
95,No,Travel_Rarely,25 - 34,Sales,Medical,1,Male,Sales Executive,Single,No,32,6,Master's Degree,2,2,3,5010,12,3,11,8,5,7
96,No,Travel_Rarely,45 - 54,R&D,Technical Degree,1,Female,Research Director,Married,No,54,2,Master's Degree,1,3,3,13549,16,1,4,3,0,3
97,No,Travel_Rarely,Under 25,Sales,Other,1,Female,Sales Executive,Married,No,24,3,Associates Degree,1,2,3,4999,4,2,3,2,0,2
98,No,Non-Travel,25 - 34,Sales,Medical,1,Male,Sales Executive,Married,No,28,4,Bachelor's Degree,2,2,3,4221,5,4,5,4,0,4
99,No,Travel_Rarely,Over 55,Sales,Medical,1,Male,Sales Executive,Single,No,58,10,Master's Degree,4,4,3,13872,38,2,37,10,1,8
100,No,Non-Travel,35 - 44,R&D,Medical,1,Male,Laboratory Technician,Married,No,44,23,Bachelor's Degree,2,2,2,2042,17,4,3,2,1,2
101,Yes,Travel_Rarely,35 - 44,HR,Human Resources,1,Male,Human Resources,Divorced,Yes,37,6,Master's Degree,3,1,1,2073,7,3,3,2,0,2
102,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Single,No,32,1,High School,4,1,1,2956,1,3,1,0,0,0
103,Yes,Travel_Frequently,Under 25,R&D,Life Sciences,1,Female,Laboratory Technician,Single,Yes,20,6,Bachelor's Degree,4,1,4,2926,1,3,1,0,1,0
104,No,Travel_Rarely,25 - 34,R&D,Other,1,Female,Research Scientist,Single,No,34,6,Master's Degree,1,2,3,4809,16,3,16,13,2,10
105,No,Non-Travel,35 - 44,R&D,Life Sciences,1,Male,Healthcare Representative,Divorced,No,37,2,Associates Degree,3,2,4,5163,17,4,1,0,0,0
106,No,Non-Travel,Over 55,HR,Human Resources,1,Female,Manager,Married,No,59,2,Master's Degree,3,5,4,18844,30,3,3,2,2,2
107,No,Travel_Frequently,45 - 54,R&D,Life Sciences,1,Female,Research Director,Married,Yes,50,1,Bachelor's Degree,1,5,2,18172,28,2,8,3,0,7
108,Yes,Travel_Rarely,25 - 34,Sales,Marketing,1,Male,Sales Executive,Single,Yes,25,5,Bachelor's Degree,3,2,3,5744,6,3,6,4,0,3
109,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Research Scientist,Married,No,25,7,High School,4,1,4,2889,2,3,2,2,2,1
110,No,Travel_Rarely,Under 25,R&D,Medical,1,Female,Laboratory Technician,Single,No,22,15,Bachelor's Degree,2,1,4,2871,1,3,0,0,0,0
111,No,Travel_Frequently,45 - 54,R&D,Medical,1,Female,Healthcare Representative,Single,No,51,1,Master's Degree,1,3,1,7484,23,2,13,12,12,8
112,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Single,Yes,34,7,Bachelor's Degree,1,2,3,6074,9,3,9,7,0,6
113,No,Non-Travel,45 - 54,HR,Human Resources,1,Female,Manager,Single,Yes,54,26,Bachelor's Degree,4,4,4,17328,23,3,5,3,4,4
114,No,Travel_Rarely,Under 25,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,24,18,High School,2,1,3,2774,6,3,5,3,1,2
115,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Research Scientist,Divorced,No,34,6,Master's Degree,3,2,2,4505,12,3,1,0,0,0
116,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Male,Sales Executive,Single,No,37,3,Bachelor's Degree,3,3,4,7428,12,3,5,3,1,3
117,No,Travel_Rarely,25 - 34,R&D,Medical,1,Female,Manager,Single,No,34,5,Bachelor's Degree,3,3,1,11631,14,3,11,10,5,8
118,No,Travel_Frequently,35 - 44,Sales,Technical Degree,1,Female,Sales Executive,Married,No,36,11,Associates Degree,2,3,4,9738,10,3,9,7,2,8
119,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Divorced,No,36,3,Associates Degree,1,1,4,2835,7,3,1,0,0,0
120,No,Travel_Frequently,35 - 44,Sales,Life Sciences,1,Male,Manager,Married,Yes,43,26,Associates Degree,3,4,4,16959,25,4,25,12,4,12
121,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Divorced,No,30,23,Bachelor's Degree,1,1,3,2613,10,2,10,7,0,9
122,No,Non-Travel,25 - 34,Sales,Marketing,1,Male,Sales Executive,Married,No,33,22,Associates Degree,3,2,2,6146,8,4,7,7,0,7
123,Yes,Travel_Rarely,Over 55,R&D,Life Sciences,1,Female,Research Scientist,Married,Yes,56,14,Master's Degree,2,1,2,4963,7,3,5,4,4,3
124,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Research Director,Single,No,51,6,Bachelor's Degree,1,5,3,19537,23,3,20,18,15,15
125,Yes,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Married,Yes,31,6,Master's Degree,2,2,3,6172,12,2,7,7,7,7
126,No,Travel_Rarely,25 - 34,R&D,Other,1,Female,Research Scientist,Married,No,26,6,Bachelor's Degree,3,1,2,2368,5,2,5,4,4,3
127,Yes,Travel_Rarely,Over 55,R&D,Medical,1,Female,Healthcare Representative,Married,No,58,23,Master's Degree,4,3,4,10312,40,2,40,10,15,6
128,Yes,Travel_Rarely,Under 25,Sales,Marketing,1,Male,Sales Representative,Single,Yes,19,22,High School,4,1,3,1675,0,2,0,0,0,0
129,No,Travel_Rarely,Under 25,R&D,Technical Degree,1,Male,Laboratory Technician,Married,No,22,2,High School,3,1,4,2523,3,3,2,1,2,1
130,No,Travel_Rarely,45 - 54,R&D,Medical,1,Female,Manufacturing Director,Married,No,49,20,Master's Degree,3,2,1,6567,16,2,15,11,5,11
131,No,Travel_Frequently,35 - 44,R&D,Medical,1,Female,Research Scientist,Single,No,43,28,Bachelor's Degree,2,1,3,4739,18,3,3,2,1,2
132,No,Travel_Frequently,45 - 54,Sales,Marketing,1,Female,Sales Executive,Single,No,50,12,Bachelor's Degree,3,3,4,9208,16,3,2,2,2,1
133,Yes,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Female,Sales Executive,Married,Yes,31,20,Bachelor's Degree,2,2,3,4559,4,3,2,2,2,2
134,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Male,Sales Executive,Divorced,Yes,41,9,High School,3,3,3,8189,12,3,9,7,0,7
135,No,Travel_Rarely,25 - 34,HR,Life Sciences,1,Female,Human Resources,Married,No,26,25,High School,3,1,3,2942,8,3,8,7,5,7
136,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Manufacturing Director,Divorced,No,36,6,Associates Degree,2,2,2,4941,7,3,3,2,0,1
137,Yes,Travel_Frequently,45 - 54,R&D,Life Sciences,1,Male,Manufacturing Director,Single,No,51,8,Master's Degree,1,3,4,10650,18,3,4,2,0,3
138,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Female,Sales Executive,Married,No,39,4,Master's Degree,4,2,3,5902,17,4,15,11,5,9
139,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Married,No,25,28,Bachelor's Degree,1,2,3,8639,6,3,2,2,2,2
140,No,Travel_Rarely,25 - 34,HR,Human Resources,1,Male,Human Resources,Married,Yes,30,9,Bachelor's Degree,3,2,4,6347,12,1,11,9,4,7
141,Yes,Travel_Rarely,25 - 34,R&D,Medical,1,Female,Laboratory Technician,Single,No,32,9,Bachelor's Degree,1,1,1,4200,10,4,5,4,0,4
142,No,Travel_Rarely,45 - 54,R&D,Medical,1,Male,Research Scientist,Single,No,45,29,Bachelor's Degree,3,1,4,3452,9,2,6,5,0,3
143,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1,Female,Research Scientist,Single,Yes,38,3,Doctoral Degree,4,2,3,4317,19,3,3,2,2,2
144,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Research Scientist,Single,No,30,18,Bachelor's Degree,1,1,3,2632,5,2,5,4,0,4
145,No,Travel_Frequently,25 - 34,Sales,Medical,1,Male,Sales Executive,Divorced,No,32,9,Associates Degree,4,2,4,4668,9,4,8,7,0,7
146,No,Travel_Rarely,25 - 34,R&D,Technical Degree,1,Female,Research Scientist,Divorced,No,30,5,Bachelor's Degree,4,1,1,3204,8,3,3,2,2,2
147,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Single,No,30,2,High School,2,1,4,2720,6,3,5,3,1,2
148,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Male,Manager,Divorced,No,41,10,Bachelor's Degree,4,4,1,17181,21,2,7,6,7,7
149,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,41,9,Master's Degree,3,1,1,2238,7,3,5,0,1,4
150,No,Travel_Rarely,Under 25,R&D,Medical,1,Female,Laboratory Technician,Single,No,19,3,High School,2,1,2,1483,1,3,1,0,0,0
151,No,Travel_Frequently,35 - 44,R&D,Medical,1,Female,Research Scientist,Divorced,No,40,26,Bachelor's Degree,2,2,2,5605,20,3,20,7,2,13
152,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,No,35,1,Doctoral Degree,3,3,2,7295,10,3,10,8,0,6
153,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Male,Sales Representative,Married,Yes,53,6,Associates Degree,2,2,3,2306,13,1,7,7,4,5
154,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Laboratory Technician,Divorced,No,45,9,Bachelor's Degree,2,2,2,2348,20,1,17,9,0,15
155,No,Travel_Frequently,25 - 34,Sales,Marketing,1,Female,Sales Executive,Single,No,32,8,Bachelor's Degree,2,3,4,8998,9,3,9,8,3,7
156,No,Non-Travel,25 - 34,R&D,Technical Degree,1,Male,Manufacturing Director,Married,No,29,1,High School,4,2,3,4319,10,3,10,7,0,9
157,No,Travel_Rarely,45 - 54,R&D,Medical,1,Male,Manufacturing Director,Married,No,51,7,Master's Degree,2,2,3,6132,10,3,1,0,0,0
158,No,Travel_Rarely,Over 55,R&D,Medical,1,Female,Research Scientist,Married,Yes,58,9,Bachelor's Degree,2,1,2,3346,9,2,1,0,0,0
159,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,No,40,4,Master's Degree,3,3,4,10855,15,2,12,11,2,11
160,No,Travel_Frequently,25 - 34,Sales,Marketing,1,Female,Sales Representative,Married,No,34,2,Master's Degree,3,1,3,2231,6,3,4,3,1,2
161,No,Travel_Rarely,Under 25,R&D,Medical,1,Male,Research Scientist,Married,No,22,19,High School,3,1,4,2323,2,3,2,2,2,2
162,No,Non-Travel,25 - 34,R&D,Medical,1,Male,Research Scientist,Divorced,No,27,9,Bachelor's Degree,4,1,2,2024,6,1,2,2,2,2
163,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Research Scientist,Married,No,28,21,Bachelor's Degree,3,1,4,2713,5,1,5,2,0,2
164,No,Travel_Rarely,Over 55,R&D,Life Sciences,1,Male,Healthcare Representative,Divorced,Yes,57,24,Associates Degree,3,3,4,9439,12,1,5,3,1,4
165,No,Non-Travel,25 - 34,R&D,Medical,1,Male,Research Scientist,Divorced,Yes,27,3,Bachelor's Degree,3,1,3,2566,1,2,1,1,0,1
166,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Female,Manager,Single,No,50,11,Bachelor's Degree,3,5,2,19926,21,3,5,4,4,4
167,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Research Scientist,Divorced,No,41,14,Bachelor's Degree,1,1,3,2451,13,3,9,8,1,8
168,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Female,Sales Executive,Married,No,30,5,Bachelor's Degree,2,3,4,9419,12,3,10,9,7,4
169,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Female,Sales Executive,Single,No,38,1,Master's Degree,1,2,4,8686,12,4,8,3,0,7
170,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Single,No,32,6,Doctoral Degree,3,1,3,3038,8,3,5,4,1,4
171,No,Travel_Rarely,25 - 34,R&D,Technical Degree,1,Male,Research Scientist,Married,Yes,27,17,Bachelor's Degree,3,1,2,3058,6,2,5,2,1,1
